period_month,province_name,inflation_mtm,inflation_yoy,cpi,source
2026-03-01,Papua Selatan,0.35,3.6,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Papua Tengah,0.26,2.54,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Riau,-0.13,3.65,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sulawesi Barat,-0.02,2.94,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sulawesi Selatan,0.6,4.5,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sulawesi Tengah,0.4,2.83,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sulawesi Tenggara,0.38,3.37,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sulawesi Utara,0.28,2.2,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sumatera Barat,0.13,3.37,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sumatera Selatan,0.29,3.09,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Sumatera Utara,-0.24,3.86,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
