event,status,method,url,body_length,body_sample
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Bawang%20Putih%20Ukuran%20Sedang&_=1777668631189,1117.0,"{""data"":[{""date"":""2026-04-24T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":39700.00,""harga"":0.00,""fluc"":null,""isMin"":0,""isMax"":1,""isTetap"":0},{""date"":""2026-04-27T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":39400.00,""harga"":-300.00,""fluc"":-0.76,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-28T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":39450.00,""harga"":-250.00,""fluc"":-0.63,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-29T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":39350.00,""harga"":-350.00,""fluc"":-0.88,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-30T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":39050.00,""harga"":-650.00,""fluc"":-1.64,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-05-01T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""den"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Bawang%20Putih%20Ukuran%20Sedang&forInfo=true&_=1777668631190,196.0,"{""data"":[{""date"":""2026-05-01T00:00:00"",""name"":""Bawang Putih Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":38500.00,""harga"":-1200.00,""fluc"":-3.02,""isMin"":1,""isMax"":0,""isTetap"":0}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Bawah%20I&_=1777668631191,1088.0,"{""data"":[{""date"":""2026-04-24T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14600.00,""harga"":0.00,""fluc"":null,""isMin"":0,""isMax"":1,""isTetap"":0},{""date"":""2026-04-27T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":-50.00,""fluc"":-0.34,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-28T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":-50.00,""fluc"":-0.34,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-29T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":-50.00,""fluc"":-0.34,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-30T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":-50.00,""fluc"":-0.34,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Bawah%20I&forInfo=true&_=1777668631192,191.0,"{""data"":[{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Bawah I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14150.00,""harga"":-450.00,""fluc"":-3.08,""isMin"":1,""isMax"":0,""isTetap"":0}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Bawah%20II&_=1777668631193,1080.0,"{""data"":[{""date"":""2026-04-24T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":0.00,""fluc"":null,""isMin"":1,""isMax"":0,""isTetap"":0},{""date"":""2026-04-27T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-28T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-29T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-30T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14550.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Bawah%20II&forInfo=true&_=1777668631194,190.0,"{""data"":[{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Bawah II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":14650.00,""harga"":100.00,""fluc"":0.69,""isMin"":0,""isMax"":1,""isTetap"":0}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Medium%20I&_=1777668631195,1082.0,"{""data"":[{""date"":""2026-04-24T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16100.00,""harga"":0.00,""fluc"":null,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-27T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16100.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-28T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16100.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-29T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16100.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-30T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16100.00,""harga"":0.00,""fluc"":0.00,""isMin"":0,""isMax"":1,""isTetap"":0},{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Medium%20I&forInfo=true&_=1777668631196,192.0,"{""data"":[{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Medium I"",""denomination"":""kg"",""price_type_id"":1,""nominal"":15800.00,""harga"":-300.00,""fluc"":-1.86,""isMin"":1,""isMax"":0,""isTetap"":0}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Medium%20II&_=1777668631197,1094.0,"{""data"":[{""date"":""2026-04-24T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":15950.00,""harga"":0.00,""fluc"":null,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-27T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":15900.00,""harga"":-50.00,""fluc"":-0.31,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-28T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16000.00,""harga"":50.00,""fluc"":0.31,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-29T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16000.00,""harga"":50.00,""fluc"":0.31,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-30T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":16000.00,""harga"":50.00,""fluc"":0.31,""isMin"":0,""isMax"":1,""isTetap"":0},{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Beras%20Kualitas%20Medium%20II&forInfo=true&_=1777668631198,193.0,"{""data"":[{""date"":""2026-05-01T00:00:00"",""name"":""Beras Kualitas Medium II"",""denomination"":""kg"",""price_type_id"":1,""nominal"":15450.00,""harga"":-500.00,""fluc"":-3.13,""isMin"":1,""isMax"":0,""isTetap"":0}]}"
